class,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,spectral_contrast_0,spectral_contrast_1,spectral_contrast_2,spectral_contrast_3,spectral_contrast_4,spectral_contrast_5,spectral_contrast_6,zero_crossing_rate_0,rms_0
0,-476.76318,151.93126,40.751,32.72851,24.676027,-1.6229584,-11.382446,-10.25558,-13.852532,-27.463028,-27.49719,-14.469516,-13.292886,0.07109754,0.23662832,0.119075544,0.034319576,0.06279842,0.3090584,0.9952497,0.50787497,0.079439506,0.058673795,0.1531895,0.068089455,41.0489623476132,26.657021585276254,31.11232641742464,26.683214823199975,26.61141868857721,19.727296803185077,40.89635606767765,0.02427658525485437,0.050102513
0,-335.80048,179.6296,55.25127,31.447277,13.783207,6.018884,-1.7240982,-9.665527,0.16653661,-7.8553934,-10.086546,-2.0105042,-14.881853,0.99775046,0.5311837,0.12067461,0.027901638,0.07991859,0.033974897,0.079578966,0.21935385,0.10281674,0.031839374,0.09512963,0.42883545,39.272527931767556,23.48082262123975,26.50309577140857,25.982533463496697,20.85117843944616,20.883397982356147,40.70203675894254,0.01930642985611511,0.15900731
0,-208.60654,157.71774,-48.672695,61.206535,2.4458554,2.2414975,-3.1982007,1.4495603,-3.6229446,-8.739524,-10.84472,-7.07502,-18.05238,0.17962024,0.4132284,0.14981933,0.1057,0.17009866,0.12580527,0.06725102,0.11207134,0.44171467,0.9618321,0.4120417,0.11361504,36.36881600606326,19.86893437500212,20.12833092141131,17.285691865148653,16.38423846457135,25.41026095861689,46.935718937231805,0.041716202445652176,0.11932669
0,-171.53383,132.51572,-62.749226,48.26567,-15.114235,-4.501721,-10.768104,1.6470497,-3.750773,-2.9619765,-9.72666,-0.4520667,-16.88849,0.4343349,0.2425447,0.3072836,0.47937635,0.19437316,0.20712763,0.49088427,0.29587713,0.18478353,0.21115714,0.5176963,0.91191787,35.62044366553172,20.570914298469166,22.997741858638907,23.478727378816544,20.850389634659813,27.11264506455537,47.86338829999365,0.10549618153089887,0.08774114
0,-319.41586,170.46034,-26.558022,46.63934,6.880424,-0.9278657,-14.999014,-35.355858,2.8139875,-15.810483,-20.183992,-4.276729,-31.154293,0.09210917,0.16642003,0.56865525,0.23906821,0.106523305,0.453696,0.18537581,0.051400334,0.0566935,0.31463307,0.9653539,0.43827787,29.648201390817977,23.27541713218227,29.477783743274625,26.782898153899488,29.65515445510413,30.42820821859075,43.64572517538698,0.040359724813432835,0.102848634
0,-432.47058,171.28809,61.55659,35.962433,21.266191,-3.096538,-10.754559,-9.009397,-8.640545,-15.865114,-20.198462,-19.94246,-25.282757,0.02946288,0.059125826,0.34171686,0.77209383,0.29217103,0.028497292,0.050364833,0.13796,0.037265018,0.35688576,0.7638956,0.21582203,38.5515947776745,27.686981702828557,29.371836890166133,27.989899499900353,22.686661471753567,24.07768859114543,36.549653318424504,0.02368861607142857,0.08281093
0,-243.59897,137.66705,-38.373722,67.95852,-2.550532,12.071264,-3.8888075,-11.569117,0.30102554,-23.8704,-7.0065174,-9.368541,-9.097756,0.01864562,0.059384454,0.45487663,0.9937078,0.52748036,0.06679482,0.020502549,0.050694194,0.019349108,0.028231526,0.08917947,0.03408573,39.87509007780046,25.842404918448352,26.303506136576583,20.598121410819697,19.873401323606554,20.13115369075803,50.3923651737448,0.03090547668147208,0.114299
0,-301.25833,224.81303,13.228392,23.759123,22.71254,-5.91322,-11.492649,-11.999397,-4.353943,-4.42851,-2.7056966,-1.6134921,-8.667648,0.39724454,0.19897445,0.05327071,0.09560041,0.46170154,0.95069003,0.5253466,0.12538418,0.085891806,0.2880223,0.1492266,0.1261107,39.82034723032646,18.792466400741777,24.63364894280381,24.267419245663877,25.880448494514066,25.429681332112697,31.30670170372521,0.02509059676204819,0.16234551
0,-517.10345,137.5896,60.276558,37.871414,19.878614,0.3634752,-7.683078,-11.477385,-14.076936,-20.650372,-23.01023,-20.420044,-19.801964,0.012348377,0.023832038,0.0094440505,0.1007867,0.30710912,0.07093453,0.012201294,0.047261216,0.53958976,0.99638265,0.30338752,0.01876643,31.034216767843215,29.76371300077378,31.2090719626741,24.791068604236006,19.800996994703592,18.52850719131057,39.90504955319238,0.02126270130368098,0.04933463
0,-464.6281,185.97787,43.303802,33.392143,16.44396,-11.044757,-8.002352,-6.4256673,-13.08728,-17.763224,-8.045544,-8.000494,-23.873148,0.05005756,0.25322303,0.7285503,0.19986501,0.11374164,0.30307773,0.061710555,0.022076786,0.05810887,0.4767001,0.92978454,0.27678952,31.572090936315828,23.472261036104964,26.81120748777194,21.72197417079436,24.281774579601986,20.665896567630256,39.24400832782483,0.030816581811797753,0.05653971
